#key=_id
#ltable=POINTER
#rtable=POINTER
#foreign_key_ltable=ltable.id
#foreign_key_rtable=rtable.id
_id,ltable.id,rtable.id,ltable.movie_name,ltable.year,ltable.directors,ltable.actors,ltable.critic_rating,ltable.genre,ltable.pg_rating,ltable.duration,rtable.movie_name,rtable.year,rtable.directors,rtable.actors,rtable.movie_rating,rtable.genre,rtable.duration
75,773,317,Son of a Gun,2015,Julius Avery,"Ewan McGregor,Brenton Thwaites,Alicia Vikander,Matthew Nable,Damon Herriman",2.5,"Action, Crime, Drama",Rated NR,108 minutes,Son of a Gun,2014,Julius Avery,"Ewan McGregor, Brendan Kerkvliet, Brenton Thwaites",6.5,"Action, Crime, Drama",108 min 
76,774,6473,Timbuktu,2015,Abderrahmane Sissako,"Pino Desperado,Abel Jafri,Toulou Kiki,Kettly Noël,Hichem Yacoubi",4.0,Drama,Rated PG-13,97 minutes,Timbuktu,1958,Jacques Tourneur,"Victor Mature, Yvonne De Carlo, George Dolenz",5.6,"Action, Adventure, Romance",91 min 
77,780,2827,Wild Card,2015,Simon West,"Jason Statham,Sofía Vergara,Angela Kerecz,Stanley Tucci,Milo Ventimiglia,Anne Heche,Michael Angarano,Jason Alexander",2.5,"Crime, Drama, Thriller",Rated R,92 minutes,Wild Card,2003,Yoo-jin Kim,"Dong-kun Yang, Jin-yeong Jeong, Chae-young Han",6.7,"Action, Crime",117 min 
78,786,220,Outcast,2015,Nick Powell,"Nicolas Cage,Hayden Christensen,Liu Yifei,Andy On,Fernando Chien",1.0,"Action, Adventure",Rated NR,98 minutes,Outcast,2014,Nick Powell,"Nicolas Cage, Hayden Christensen, Alexandre Bailly",4.6,"Action, Adventure",99 min 
79,790,204,Seventh Son,2015,Sergey Bodrov,"Jeff Bridges,Julianne Moore,Ben Barnes,Alicia Vikander,Kit Harington,Djimon Hounsou,Olivia Williams",2.5,"Adventure, Family, Fantasy",Rated PG-13,102 minutes,Seventh Son,2014,Sergey Bodrov,"Ben Barnes, Julianne Moore, Jeff Bridges",5.5,"Action, Adventure, Fantasy",102 min 
80,835,499,V/H/S: Viral,2014,"Justin Benson,Gregg Bishop,Aaron Moorhead,Marcel Sarmiento,Nacho Vigalondo","Justin Welborn,Emmy Argo,Gustavo Salmerón,Emilia Ares Zoryan",1.0,"Horror, Thriller",Rated R,82 minutes,V/H/S: Viral,2014,Justin Benson,"Patrick Lawrie, Emilia Ares Zoryan, Celia K. Milius",4.2,"Action, Horror, Thriller",81 min 
81,859,319,Happy New Year,2014,Farah Khan,"Shahrukh Khan,Deepika Padukone,Abhishek Bachchan,Jackie Shroff,Boman Irani,Sonu Sood",2.5,"Action, Comedy, Drama, Romance",,180 minutes,Happy New Year,2014,Farah Khan,"Shah Rukh Khan, Deepika Padukone, Abhishek Bachchan",5.5,"Action, Comedy, Crime",180 min 
82,860,215,Revenge of the Green Dragons,2014,"Andrew Lau Wai-Keung,Andrew Loo","Justin Chon,Kevin Wu,Harry Shum Jr.,Ray Liotta",1.5,"Action, Crime, Drama",Rated R,94 minutes,Revenge of the Green Dragons,2014,Wai-Keung Lau,"Justin Chon, Kevin Wu, Harry Shum Jr.",5.2,"Action, Crime, Drama",94 min 
83,901,1153,The Tower,2014,Christian Schwochow,"Jan Josef Liefers,Claudia Michelsen,Nadja Uhl,Sebastian Urzendowsky,Götz Schubert,Stephanie Stumph,Udo Schenk",3.0,Drama,,180 minutes,The Tower,2012,Ji-hoon Kim,"Sang-kyung Kim, Ye-jin Son, Kyung-gu Sol",6.5,"Action, Comedy, Drama",121 min 
84,907,313,Open Windows,2014,Nacho Vigalondo,"Elijah Wood,Sasha Grey,Neil Maskell,Nacho Vigalondo,Scott Weinberg",3.0,"Action, Crime, Suspense",Rated NR,100 minutes,Open Windows,2014,Nacho Vigalondo,"Sasha Grey, Elijah Wood, Neil Maskell",5.2,"Action, Crime, Thriller",100 min 
85,917,216,Wolves,2014,David Hayter,"Jason Momoa,Lucas Till,John Pyper-Ferguson,Stephen McHattie,Merritt Patterson",2.0,"Action, Horror",Rated R,90 minutes,Wolves,2014,David Hayter,"Lucas Till, Stephen McHattie, John Pyper-Ferguson",5.2,"Action, Horror",91 min 
86,933,2252,The Drop,2014,Michaël R. Roskam,"Tom Hardy,Noomi Rapace,James Gandolfini,John Ortiz,Ann Dowd",3.0,"Crime, Drama",Rated R,106 minutes,The Drop,2006,Kevin Lewis,"John Savage, Sean Young, Michael Bondies",2.4,"Action, Adventure, Fantasy",88 min 
87,947,200,Dracula Untold,2014,Gary Shore,"Luke Evans,Sarah Gadon,Dominic Cooper,Art Parkinson,Charles Dance,Diarmaid Murtagh,Paul Kaye,William Houston,Noah Huntley,Ronan Vibert",2.5,"Action, Drama, Fantasy, Horror, War",Rated PG-13,92 minutes,Dracula Untold,2014,Gary Shore,"Luke Evans, Dominic Cooper, Sarah Gadon",6.3,"Action, Drama, Fantasy",92 min 
88,957,345,Young Ones,2014,Jake Paltrow,"Nicholas Hoult,Elle Fanning,Michael Shannon,Kodi Smit-McPhee",1.5,"Action, Drama, Science Fiction",Rated R,100 minutes,Young Ones,2014,Jake Paltrow,"Nicholas Hoult, Kodi Smit-McPhee, Michael Shannon",5.9,"Action, Drama, Sci-Fi",100 min 
89,970,214,Good People,2014,Henrik Ruben Genz,"James Franco,Kate Hudson,Anna Friel,Tom Wilkinson,Omar Sy,Sam Spruell,Michael Jibson",2.5,"Action, Crime, Thriller",Rated R,,Good People,2014,Henrik Ruben Genz,"James Franco, Kate Hudson, Tom Wilkinson",5.5,"Action, Crime, Thriller",90 min 
90,983,320,Left Behind,2014,Vic Armstrong,"Nicolas Cage,Lea Thompson,Chad Michael Murray,Nicky Whelan,Jordin Sparks,Martin Klebba,Cassi Thompson",1.0,"Action, Science Fiction",Rated PG-13,105 minutes,Left Behind,2014,Vic Armstrong,"Nicolas Cage, Lea Thompson, Cassi Thomson",3.1,"Action, Sci-Fi, Thriller",110 min 
91,996,310,The November Man,2014,Roger Donaldson,"Pierce Brosnan,Luke Bracey,Olga Kurylenko,Will Patton,Bill Smitrovich",2.0,"Action, Thriller",Rated R,108 minutes,The November Man,2014,Roger Donaldson,"Pierce Brosnan, Luke Bracey, Olga Kurylenko",6.3,"Action, Crime, Thriller",108 min 
92,1009,286,Falcon Rising,2014,Ernie Barbarash,"Michael Jai White,Neal McDonough,Laila Ali,Lateef Crowder,Hazuki Kato",3.0,"Action, Drama",Rated R,103 minutes,Falcon Rising,2014,Ernie Barbarash,"Neal McDonough, Michael Jai White, Lateef Crowder",5.7,"Action, Adventure",103 min 
93,1019,209,Hercules,2014,Brett Ratner,"Dwayne Johnson,John Hurt,Ian McShane,Rufus Sewell,Aksel Hennie,Ingrid Bolsø Berdal,Joseph Fiennes",1.0,"Action, Adventure",Rated PG-13,98 minutes,Hercules,2014,Brett Ratner,"Dwayne Johnson, John Hurt, Ian McShane",6.1,"Action, Adventure",98 min 
94,1033,309,Rage,2014,Paco Cabezas,"Nicolas Cage,Rachel Nichols,Aubrey Peeples,Danny Glover,Peter Stormare",1.0,"Action, Crime, Thriller",Rated NR,92 minutes,Rage,2014,Paco Cabezas,"Nicolas Cage, Rachel Nichols, Max Ryan",5.0,"Action, Crime, Thriller",92 min 
95,1033,1528,Rage,2014,Paco Cabezas,"Nicolas Cage,Rachel Nichols,Aubrey Peeples,Danny Glover,Peter Stormare",1.0,"Action, Crime, Thriller",Rated NR,92 minutes,Rage,2010,Chris Witherspoon,"Audrey Walker, Rick Crawford, Chris Witherspoon",4.3,"Action, Drama, Horror",85 min 
96,1033,3631,Rage,2014,Paco Cabezas,"Nicolas Cage,Rachel Nichols,Aubrey Peeples,Danny Glover,Peter Stormare",1.0,"Action, Crime, Thriller",Rated NR,92 minutes,Rage,1997,Slobodan Skerlic,"Lazar Ristovski, Nikola Djuricko, Nebojsa Glogovac",6.8,Action,97 min 
97,1033,3632,Rage,2014,Paco Cabezas,"Nicolas Cage,Rachel Nichols,Aubrey Peeples,Danny Glover,Peter Stormare",1.0,"Action, Crime, Thriller",Rated NR,92 minutes,Rage,1997,Slobodan Skerlic,"Lazar Ristovski, Nikola Djuricko, Nebojsa Glogovac",6.8,Action,97 min 
98,1033,3861,Rage,2014,Paco Cabezas,"Nicolas Cage,Rachel Nichols,Aubrey Peeples,Danny Glover,Peter Stormare",1.0,"Action, Crime, Thriller",Rated NR,92 minutes,Rage,1995,Joseph Merhi,"Gary Daniels, Kenneth Tigar, Fiona Hutchison",5.4,"Action, Thriller",94 min 
99,1033,3862,Rage,2014,Paco Cabezas,"Nicolas Cage,Rachel Nichols,Aubrey Peeples,Danny Glover,Peter Stormare",1.0,"Action, Crime, Thriller",Rated NR,92 minutes,Rage,1995,Joseph Merhi,"Gary Daniels, Kenneth Tigar, Fiona Hutchison",5.4,"Action, Thriller",94 min 
100,1034,257,Dawn of the Planet of the Apes,2014,Matt Reeves,"Andy Serkis,Jason Clarke,Gary Oldman,Keri Russell,Toby Kebbell,Kodi Smit-McPhee,Kirk Acevedo,Judy Greer",3.5,"Action, Drama, Science Fiction, Thriller",Rated PG-13,130 minutes,Dawn of the Planet of the Apes,2014,Matt Reeves,"Gary Oldman, Keri Russell, Andy Serkis",7.7,"Action, Drama, Sci-Fi",130 min 
101,1034,3017,Dawn of the Planet of the Apes,2014,Matt Reeves,"Andy Serkis,Jason Clarke,Gary Oldman,Keri Russell,Toby Kebbell,Kodi Smit-McPhee,Kirk Acevedo,Judy Greer",3.5,"Action, Drama, Science Fiction, Thriller",Rated PG-13,130 minutes,Planet of the Apes,2001,Tim Burton,"Mark Wahlberg, Helena Bonham Carter, Tim Roth",5.7,"Action, Adventure, Sci-Fi",119 min 
102,1038,232,Persecuted,2014,Daniel Lusko,"James Remar,Bruce Davison,Dean Stockwell,Fred Thompson,Brad Stine,Natalie Grant",1.0,"Action, Adventure, Drama, Thriller",Rated PG-13,91 minutes,Persecuted,2014,Daniel Lusko,"James Remar, Dean Stockwell, Bruce Davison",3.6,"Action, Drama, Mystery",91 min 
103,1038,398,Persecuted,2014,Daniel Lusko,"James Remar,Bruce Davison,Dean Stockwell,Fred Thompson,Brad Stine,Natalie Grant",1.0,"Action, Adventure, Drama, Thriller",Rated PG-13,91 minutes,Persecuted,2014,Benjamin Bondar,"Joshua M. Bott, John Herzog, Nikita Bogolyubov",7.0,"Action, Drama",19 min 
104,1044,381,The Purge: Anarchy,2014,James Demonaco,"Frank Grillo,Carmen Ejogo,Zach Gilford,Kiele Sanchez,Zoe Soul",2.0,"Horror, Thriller",Rated R,103 minutes,The Purge: Anarchy,2014,James DeMonaco,"Frank Grillo, Carmen Ejogo, Zach Gilford",6.5,"Action, Horror, Sci-Fi",103 min 
105,1047,6446,Cannibal,2014,Manuel Martín Cuenca,"Antonio de la Torre,María Alfonsa Rosso,Olimpia Melinte",2.0,Thriller,,116 minutes,Hannibal,1959,Carlo Ludovico Bragaglia,"Victor Mature, Gabriele Ferzetti, Rita Gam",5.3,"Action, Adventure, Biography",103 min 
106,1054,362,Lucy,2014,Luc Besson,"Scarlett Johansson,Morgan Freeman,Choi Min-Sik,Analeigh Tipton,Amr Waked",3.0,"Action, Science Fiction",Rated R,90 minutes,Lucy,2014,Luc Besson,"Scarlett Johansson, Morgan Freeman, Min-sik Choi",6.4,"Action, Sci-Fi, Thriller",89 min 
107,1063,211,Teenage Mutant Ninja Turtles,2014,Jonathan Liebesman,"Megan Fox,Alan Ritchson,Will Arnett,Noel Fisher,Johnny Knoxville,William Fichtner,Minae Noji,Jeremy Howard,Whoopi Goldberg,Danny Woodburn,Abby Elliott,Tony Shalhoub",1.5,"Action, Adventure, Comedy, Fantasy, Science Fiction",Rated PG-13,101 minutes,Teenage Mutant Ninja Turtles,2014,Jonathan Liebesman,"Megan Fox, Will Arnett, William Fichtner",5.9,"Action, Adventure, Comedy",101 min 
108,1063,4131,Teenage Mutant Ninja Turtles,2014,Jonathan Liebesman,"Megan Fox,Alan Ritchson,Will Arnett,Noel Fisher,Johnny Knoxville,William Fichtner,Minae Noji,Jeremy Howard,Whoopi Goldberg,Danny Woodburn,Abby Elliott,Tony Shalhoub",1.5,"Action, Adventure, Comedy, Fantasy, Science Fiction",Rated PG-13,101 minutes,Teenage Mutant Ninja Turtles III,1993,Stuart Gillard,"Elias Koteas, Paige Turco, Stuart Wilson",4.8,"Action, Adventure, Comedy",96 min 
109,1063,4463,Teenage Mutant Ninja Turtles,2014,Jonathan Liebesman,"Megan Fox,Alan Ritchson,Will Arnett,Noel Fisher,Johnny Knoxville,William Fichtner,Minae Noji,Jeremy Howard,Whoopi Goldberg,Danny Woodburn,Abby Elliott,Tony Shalhoub",1.5,"Action, Adventure, Comedy, Fantasy, Science Fiction",Rated PG-13,101 minutes,Teenage Mutant Ninja Turtles,1990,Steve Barron,"Judith Hoag, Elias Koteas, Josh Pais",6.7,"Action, Adventure, Comedy",93 min 
110,1064,258,Into the Storm,2014,Steven Quale,"Richard Armitage,Sarah Wayne Callies,Matt Walsh,Max Deacon,Nathan Kress,Alycia Debnam Carey,Jeremy Sumpter,Kyle Davis",2.0,Thriller,Rated PG-13,89 minutes,Into the Storm,2014,Steven Quale,"Richard Armitage, Sarah Wayne Callies, Matt Walsh",5.8,"Action, Thriller",89 min 
111,1078,292,The Expendables 3,2014,Patrick Hughes,"Sylvester Stallone,Jason Statham,Terry Crews,Randy Couture,Antonio Banderas,Jet Li,Wesley Snipes,Dolph Lundgren,Glen Powell,Mel Gibson,Harrison Ford,Arnold Schwarzenegger,Kellan Lutz,Kelsey Grammer,Robert Davi,Ronda Rousey,Victor Ortiz",3.0,"Action, Adventure, Thriller",Rated PG-13,126 minutes,The Expendables 3,2014,Patrick Hughes,"Sylvester Stallone, Jason Statham, Jet Li",6.1,"Action, Adventure, Thriller",126 min 
112,1078,972,The Expendables 3,2014,Patrick Hughes,"Sylvester Stallone,Jason Statham,Terry Crews,Randy Couture,Antonio Banderas,Jet Li,Wesley Snipes,Dolph Lundgren,Glen Powell,Mel Gibson,Harrison Ford,Arnold Schwarzenegger,Kellan Lutz,Kelsey Grammer,Robert Davi,Ronda Rousey,Victor Ortiz",3.0,"Action, Adventure, Thriller",Rated PG-13,126 minutes,The Expendables 2,2012,Simon West,"Sylvester Stallone, Liam Hemsworth, Randy Couture",6.7,"Action, Adventure, Thriller",103 min 
113,1078,1509,The Expendables 3,2014,Patrick Hughes,"Sylvester Stallone,Jason Statham,Terry Crews,Randy Couture,Antonio Banderas,Jet Li,Wesley Snipes,Dolph Lundgren,Glen Powell,Mel Gibson,Harrison Ford,Arnold Schwarzenegger,Kellan Lutz,Kelsey Grammer,Robert Davi,Ronda Rousey,Victor Ortiz",3.0,"Action, Adventure, Thriller",Rated PG-13,126 minutes,The Expendables,2010,Sylvester Stallone,"Sylvester Stallone, Jason Statham, Jet Li",6.5,"Action, Adventure, Thriller",103 min 
114,1078,4697,The Expendables 3,2014,Patrick Hughes,"Sylvester Stallone,Jason Statham,Terry Crews,Randy Couture,Antonio Banderas,Jet Li,Wesley Snipes,Dolph Lundgren,Glen Powell,Mel Gibson,Harrison Ford,Arnold Schwarzenegger,Kellan Lutz,Kelsey Grammer,Robert Davi,Ronda Rousey,Victor Ortiz",3.0,"Action, Adventure, Thriller",Rated PG-13,126 minutes,The Expendables,1988,Cirio H. Santiago,"Anthony Finetti, Peter Nelson, Loren Haynes",4.2,"Action, Adventure, War",89 min 
115,1092,1322,Jackpot,2014,Magnus Martens,"Kyrre Hellum,Mads Ousdal,Henrik Mestad,Andreas Cappelen,Arthur Berning,Lena Kristin Ellingsen,Fridtjov Såheim",1.5,"Action, Comedy, Crime",Rated NR,90 minutes,Jackpot,2011,Magnus Martens,"Kyrre Hellum, Mads Ousdal, Henrik Mestad",6.6,"Action, Comedy, Crime",90 min 
116,1121,222,How to Train Your Dragon 2,2014,Dean Deblois,"Jay Baruchel,Cate Blanchett,Gerard Butler,Craig Ferguson,America Ferrera,Jonah Hill,Christopher Mintz-Plasse,T. J. Miller,Kristen Wiig,Djimon Hounsou,Kit Harington",3.5,"Action, Adventure, Animation",Rated PG,102 minutes,How to Train Your Dragon 2,2014,Dean DeBlois,"Jay Baruchel, Cate Blanchett, Gerard Butler",7.9,"Animation, Action, Adventure",102 min 
117,1122,285,22 Jump Street,2014,"Phil Lord,Chris Miller","Jonah Hill,Channing Tatum,Ice Cube,Dave Franco,Nick Offerman,Peter Stormare,Rob Riggle,Wyatt Russell,Richard Grieco,Amber Stevens,Jillian Bell,Jimmy Tatro",3.0,"Action, Comedy",Rated R,112 minutes,22 Jump Street,2014,Phil Lord,"Channing Tatum, Jonah Hill, Ice Cube",7.1,"Action, Comedy, Crime",112 min 
118,1122,907,22 Jump Street,2014,"Phil Lord,Chris Miller","Jonah Hill,Channing Tatum,Ice Cube,Dave Franco,Nick Offerman,Peter Stormare,Rob Riggle,Wyatt Russell,Richard Grieco,Amber Stevens,Jillian Bell,Jimmy Tatro",3.0,"Action, Comedy",Rated R,112 minutes,21 Jump Street,2012,Phil Lord,"Jonah Hill, Channing Tatum, Ice Cube",7.2,"Action, Comedy, Crime",109 min 
119,1134,1263,The Double,2014,Richard Ayoade,"Jesse Eisenberg,Mia Wasikowska,Wallace Shawn,Noah Taylor,Rade Šerbedžija,Yasmin Paige,James Fox,Nathalie Cox,Phyllis Somerville,Sally Hawkins",3.0,Drama,Rated R,93 minutes,The Double,2011,Michael Brandt,"Richard Gere, Topher Grace, Martin Sheen",5.9,"Action, Crime, Drama",98 min 
120,1137,201,Godzilla,2014,Gareth Edwards,"Bryan Cranston,Elizabeth Olsen,Aaron Taylor-Johnson,Juliette Binoche,Sally Hawkins,David Strathairn,Ken Watanabe,Victor Rasuk,Brian Markinson,Al Sapienza,Patrick Sabongui,Yuki Mortia",3.5,"Horror, Science Fiction",Rated PG-13,123 minutes,Godzilla,2014,Gareth Edwards,"Aaron Taylor-Johnson, Elizabeth Olsen, Bryan Cranston",6.5,"Action, Adventure, Sci-Fi",123 min 
121,1137,3418,Godzilla,2014,Gareth Edwards,"Bryan Cranston,Elizabeth Olsen,Aaron Taylor-Johnson,Juliette Binoche,Sally Hawkins,David Strathairn,Ken Watanabe,Victor Rasuk,Brian Markinson,Al Sapienza,Patrick Sabongui,Yuki Mortia",3.5,"Horror, Science Fiction",Rated PG-13,123 minutes,Godzilla,1998,Roland Emmerich,"Matthew Broderick, Jean Reno, Maria Pitillo",5.3,"Action, Sci-Fi, Thriller",139 min 
122,1142,637,Wolf Creek 2,2014,Greg Mclean,"John Jarratt,Ryan Corr,Shannon Ashlyn,Phillipe Klaus,Gerard Kennedy,Annie Byron",1.0,"Horror, Thriller",Rated NR,106 minutes,Wolf Creek 2,2013,Greg McLean,"John Jarratt, Ryan Corr, Shannon Ashlyn",6.1,"Action, Horror, Thriller",106 min 
123,1159,219,Brick Mansions,2014,Camille Delamarre,"Paul Walker,David Belle,RZA,Robert Maillet,Carlo Rota,Catalina Denis,Ayisha Issa",2.5,"Action, Crime",Rated PG-13,90 minutes,Brick Mansions,2014,Camille Delamarre,"Paul Walker, David Belle, RZA",5.7,"Action, Crime, Drama",90 min 
124,1168,235,The Amazing Spider-Man 2,2014,Marc Webb,"Andrew Garfield,Emma Stone,Jamie Foxx,Dane DeHaan,Colm Feore,Felicity Jones,Paul Giamatti,Sally Field,Marton Csokas,Embeth Davidtz,Denis Leary,Chris Zylka,B.J. Novak",2.0,"Action, Adventure, Fantasy",Rated PG-13,142 minutes,The Amazing Spider-Man 2,2014,Marc Webb,"Andrew Garfield, Emma Stone, Jamie Foxx",6.8,"Action, Adventure, Fantasy",142 min 
125,1168,901,The Amazing Spider-Man 2,2014,Marc Webb,"Andrew Garfield,Emma Stone,Jamie Foxx,Dane DeHaan,Colm Feore,Felicity Jones,Paul Giamatti,Sally Field,Marton Csokas,Embeth Davidtz,Denis Leary,Chris Zylka,B.J. Novak",2.0,"Action, Adventure, Fantasy",Rated PG-13,142 minutes,The Amazing Spider-Man,2012,Marc Webb,"Andrew Garfield, Emma Stone, Rhys Ifans",7.1,"Action, Adventure, Fantasy",136 min 
126,1171,2504,The Protector 2,2014,Prachya Pinkaew,"Tony Jaa,RZA,Petchtai Wongkamlao,JeeJa Yanin,Marrese Crump,Yayaying Rhatha Phongam",1.5,Action,Rated R,104 minutes,The Protector,2005,Prachya Pinkaew,"Tony Jaa, Nathan Jones, Petchtai Wongkamlao",7.1,"Action, Crime, Drama",81 min 
127,1171,5068,The Protector 2,2014,Prachya Pinkaew,"Tony Jaa,RZA,Petchtai Wongkamlao,JeeJa Yanin,Marrese Crump,Yayaying Rhatha Phongam",1.5,Action,Rated R,104 minutes,The Protector,1985,James Glickenhaus,"Jackie Chan, Danny Aiello, Sandy Alexander",5.6,"Action, Crime, Drama",91 min 
128,1189,810,Rigor Mortis,2014,Juno Mak,"Chin Siu-Ho,Anthony Chan,Kara Hui,Richard Ng,Hoi-Pang Lo,Hee Ching Paw",3.0,"Action, Drama, Horror",,105 minutes,Rigor Mortis,2013,Juno Mak,"Anthony Chan, Siu-Ho Chin, Fat Chung",6.3,"Action, Drama, Horror",103 min 
129,1220,279,The Raid 2,2014,Gareth Evans,"Iko Uwais,Julie Estelle,Arifin Putra,Tio Pakusodewo,Oka Antara,Ryuhei Matsuda,Ken'ichi Endô",2.0,"Action, Crime, Thriller",Rated R,,The Raid 2,2014,Gareth Evans,"Iko Uwais, Yayan Ruhian, Arifin Putra",8.0,"Action, Crime, Thriller",150 min 
130,1220,6544,The Raid 2,2014,Gareth Evans,"Iko Uwais,Julie Estelle,Arifin Putra,Tio Pakusodewo,Oka Antara,Ryuhei Matsuda,Ken'ichi Endô",2.0,"Action, Crime, Thriller",Rated R,,The Raid,1954,Hugo Fregonese,"Van Heflin, Anne Bancroft, Richard Boone",6.9,"Action, Drama, War",83 min 
131,1223,230,Sabotage,2014,David Ayer,"Arnold Schwarzenegger,Sam Worthington,Joe Manganiello,Josh Holloway,Max Martini,Terrence Howard,Mireille Enos,Olivia Williams",1.5,"Action, Crime, Drama, Thriller",Rated R,110 minutes,Sabotage,2014,David Ayer,"Arnold Schwarzenegger, Sam Worthington, Terrence Howard",5.7,"Action, Crime, Drama",109 min 
132,1227,242,Noah,2014,Darren Aronofsky,"Russell Crowe,Jennifer Connelly,Emma Watson,Logan Lerman,Douglas Booth,Anthony Hopkins,Ray Winstone,Kevin Durand",3.0,"Action, Drama, Fantasy",Rated PG-13,,Noah,2014,Darren Aronofsky,"Russell Crowe, Jennifer Connelly, Anthony Hopkins",5.9,"Action, Adventure, Drama",138 min 
133,1229,2228,Blood Ties,2014,Guillaume Canet,"Mila Kunis,Zoe Saldana,Marion Cotillard,Clive Owen,James Caan,Lili Taylor,Billy Crudup",2.5,"Crime, Drama, Thriller",Rated R,144 minutes,Blood Ties,2007,Kely McClung,"Kely McClung, Robert Pralgo, Erik Markus Schuetz",6.9,Action,93 min 
134,1231,256,In the Blood,2014,John Stockwell,"Gina Carano,Cam Gigandet,Luis Guzmán,Amaury Nolasco,Ismael Cruz Cordova,Treat Williams,Stephen Lang,Danny Trejo",1.0,"Action, Crime, Drama, Thriller",Rated R,90 minutes,In the Blood,2014,John Stockwell,"Gina Carano, Cam Gigandet, Danny Trejo",5.7,"Action, Crime, Thriller",108 min 
135,1232,688,Afflicted,2014,"Clif Prowse,Derek Lee","Baya Rehaz,Derek Lee,Clif Prowse",2.0,"Action, Thriller",Rated R,85 minutes,Afflicted,2013,Derek Lee,"Clif Prowse, Derek Lee, Michael Gill",6.3,"Horror, Mystery, Thriller",85 min 
136,1233,237,Pompeii,2014,Paul W.S. Anderson,"Kit Harington,Emily Browning,Kiefer Sutherland,Carrie-Anne Moss,Rebecca Eady,Jared Harris",2.5,"Disaster, History, Mystery",Rated PG-13,105 minutes,Pompeii,2014,Paul W.S. Anderson,"Kit Harington, Emily Browning, Kiefer Sutherland",5.6,"Action, Adventure, Drama",105 min 
137,1238,248,Non-Stop,2014,Jaume Collet-Serra,"Liam Neeson,Julianne Moore,Scoot McNairy,Michelle Dockery,Anson Mount,Lupita Nyong'o,Corey Stoll,Linus Roache,Jon Abrahams",2.5,"Action, Mystery, Thriller",Rated PG-13,106 minutes,Non-Stop,2014,Jaume Collet-Serra,"Liam Neeson, Julianne Moore, Scoot McNairy",7.0,"Action, Mystery, Thriller",106 min 
138,1238,3682,Non-Stop,2014,Jaume Collet-Serra,"Liam Neeson,Julianne Moore,Scoot McNairy,Michelle Dockery,Anson Mount,Lupita Nyong'o,Corey Stoll,Linus Roache,Jon Abrahams",2.5,"Action, Mystery, Thriller",Rated PG-13,106 minutes,Non-Stop,1996,SABU,"Shin'ichi Tsutsumi, Tomorowo Taguchi, Diamond Yukai",7.2,"Comedy, Action, Crime",82 min 
139,1240,633,Stalingrad,2013,Fedor Bondarchuk,"Mariya Smolnikova,Yanina Studilina,Pyotr Fyodorov,Thomas Kretschmann,Philippe Reinhardt,Sergey Bondarchuk,Dmitriy Lysenkov",2.5,"Action, Drama, War",Rated R,135 minutes,Stalingrad,2013,Fedor Bondarchuk,"Mariya Smolnikova, Yanina Studilina, Pyotr Fyodorov",5.6,"Action, Drama, War",131 min 
140,1244,334,Gulaab Gang,2014,Soumik Sen,"Madhuri Dixit,Juhi Chawla,Priyanka Bose",2.5,"Action, Drama",Rated NR,139 minutes,Gulaab Gang,2014,Soumik Sen,"Madhuri Dixit, Juhi Chawla, Divya Jagdale",6.2,"Action, Drama",139 min 
141,1245,1117,War of the Worlds: Goliath,2014,Joe Pearson,"Beau Billingslea,Jim Byrnes,Elizabeth Gracen,Adrian Paul,James Arnold Taylor",1.5,"Action, Adventure, Animation",Rated PG-13,85 minutes,War of the Worlds: Goliath,2012,Joe Pearson,"Adam Baldwin, Beau Billingslea, Kim Buckingham",5.4,"Animation, Action, Adventure",85 min 
142,1246,2177,Honey,2014,Valeria Golino,"Jasmine Trinca,Carlo Cecchi,Libero De Rienzo,Vinicio Marchioni,Iaia Forte",2.5,Drama,,96 minutes,Honeyz,2007,Tom Six,"Monique van der Werff, Anna Speller, Peter Beense",4.5,"Action, Comedy, Crime",75 min 
143,1251,653,Special ID,2014,Clarence Fok Yiu-leung,"Donnie Yen,Jing Tian,Andy On,Collin Chou,Ronald Cheng,Pau Hei-Ching,Ying Zhi-Gang",2.5,"Action, Adventure, Crime",,98 minutes,Special ID,2013,Clarence Yiu-leung Fok,"Donnie Yen, Tian Jing, Andy On",5.5,"Action, Crime, Drama",99 min 
144,1255,208,300: Rise of an Empire,2014,Noam Murro,"Lena Headey,Sullivan Stapleton,Eva Green,Jack O'Connell,Rodrigo Santoro,David Wenham,Callan Mulvey,Andrew Tiernan,Ashraf Barhom,Andrew Pleavin",2.5,Action,Rated R,,300: Rise of an Empire,2014,Noam Murro,"Sullivan Stapleton, Eva Green, Lena Headey",6.3,"Action, Drama, Fantasy",102 min 
145,1271,297,Need for Speed,2014,Scott Waugh,"Aaron Paul,Dominic Cooper,Imogen Poots,Scott Mescudi,Rami Malek,Ramón Rodríguez,Harrison Gilbertson,Dakota Johnson,Michael Keaton",1.0,"Action, Crime, Drama, Thriller",Rated PG-13,102 minutes,Need for Speed,2014,Scott Waugh,"Aaron Paul, Dominic Cooper, Imogen Poots",6.6,"Action, Crime, Drama",132 min 
146,1273,4414,Enemy,2014,Denis Villeneuve,"Jake Gyllenhaal,Mélanie Laurent,Sarah Gadon,Isabella Rossellini",2.5,Thriller,Rated R,90 minutes,Enemy,1990,George Rowe,"Peter Fonda, Tia Carrere, Mako",5.0,"Action, Adventure, Drama",84 min 
