#key=_id
#rtable=POINTER
#foreign_key_ltable=ltable.id
#foreign_key_rtable=rtable.id
#ltable=POINTER
_id,ltable.id,rtable.id,ltable.movie_name,ltable.year,ltable.directors,ltable.actors,ltable.critic_rating,ltable.genre,ltable.pg_rating,ltable.duration,rtable.movie_name,rtable.year,rtable.directors,rtable.actors,rtable.movie_rating,rtable.genre,rtable.duration,gold
100,1034,257,Dawn of the Planet of the Apes,2014,Matt Reeves,"Andy Serkis,Jason Clarke,Gary Oldman,Keri Russell,Toby Kebbell,Kodi Smit-McPhee,Kirk Acevedo,Judy Greer",3.5,"Action, Drama, Science Fiction, Thriller",Rated PG-13,130 minutes,Dawn of the Planet of the Apes,2014,Matt Reeves,"Gary Oldman, Keri Russell, Andy Serkis",7.7,"Action, Drama, Sci-Fi",130 min,1
101,1034,3017,Dawn of the Planet of the Apes,2014,Matt Reeves,"Andy Serkis,Jason Clarke,Gary Oldman,Keri Russell,Toby Kebbell,Kodi Smit-McPhee,Kirk Acevedo,Judy Greer",3.5,"Action, Drama, Science Fiction, Thriller",Rated PG-13,130 minutes,Planet of the Apes,2001,Tim Burton,"Mark Wahlberg, Helena Bonham Carter, Tim Roth",5.7,"Action, Adventure, Sci-Fi",119 min,0
102,1038,232,Persecuted,2014,Daniel Lusko,"James Remar,Bruce Davison,Dean Stockwell,Fred Thompson,Brad Stine,Natalie Grant",1,"Action, Adventure, Drama, Thriller",Rated PG-13,91 minutes,Persecuted,2014,Daniel Lusko,"James Remar, Dean Stockwell, Bruce Davison",3.6,"Action, Drama, Mystery",91 min,1
103,1038,398,Persecuted,2014,Daniel Lusko,"James Remar,Bruce Davison,Dean Stockwell,Fred Thompson,Brad Stine,Natalie Grant",1,"Action, Adventure, Drama, Thriller",Rated PG-13,91 minutes,Persecuted,2014,Benjamin Bondar,"Joshua M. Bott, John Herzog, Nikita Bogolyubov",7,"Action, Drama",19 min,0
104,1044,381,The Purge: Anarchy,2014,James Demonaco,"Frank Grillo,Carmen Ejogo,Zach Gilford,Kiele Sanchez,Zoe Soul",2,"Horror, Thriller",Rated R,103 minutes,The Purge: Anarchy,2014,James DeMonaco,"Frank Grillo, Carmen Ejogo, Zach Gilford",6.5,"Action, Horror, Sci-Fi",103 min,1
105,1047,6446,Cannibal,2014,Manuel Martn Cuenca,"Antonio de la Torre,Mara Alfonsa Rosso,Olimpia Melinte",2,Thriller,,116 minutes,Hannibal,1959,Carlo Ludovico Bragaglia,"Victor Mature, Gabriele Ferzetti, Rita Gam",5.3,"Action, Adventure, Biography",103 min,0
106,1054,362,Lucy,2014,Luc Besson,"Scarlett Johansson,Morgan Freeman,Choi Min-Sik,Analeigh Tipton,Amr Waked",3,"Action, Science Fiction",Rated R,90 minutes,Lucy,2014,Luc Besson,"Scarlett Johansson, Morgan Freeman, Min-sik Choi",6.4,"Action, Sci-Fi, Thriller",89 min,1
107,1063,211,Teenage Mutant Ninja Turtles,2014,Jonathan Liebesman,"Megan Fox,Alan Ritchson,Will Arnett,Noel Fisher,Johnny Knoxville,William Fichtner,Minae Noji,Jeremy Howard,Whoopi Goldberg,Danny Woodburn,Abby Elliott,Tony Shalhoub",1.5,"Action, Adventure, Comedy, Fantasy, Science Fiction",Rated PG-13,101 minutes,Teenage Mutant Ninja Turtles,2014,Jonathan Liebesman,"Megan Fox, Will Arnett, William Fichtner",5.9,"Action, Adventure, Comedy",101 min,1
109,1063,4463,Teenage Mutant Ninja Turtles,2014,Jonathan Liebesman,"Megan Fox,Alan Ritchson,Will Arnett,Noel Fisher,Johnny Knoxville,William Fichtner,Minae Noji,Jeremy Howard,Whoopi Goldberg,Danny Woodburn,Abby Elliott,Tony Shalhoub",1.5,"Action, Adventure, Comedy, Fantasy, Science Fiction",Rated PG-13,101 minutes,Teenage Mutant Ninja Turtles,1990,Steve Barron,"Judith Hoag, Elias Koteas, Josh Pais",6.7,"Action, Adventure, Comedy",93 min,0
111,1078,292,The Expendables 3,2014,Patrick Hughes,"Sylvester Stallone,Jason Statham,Terry Crews,Randy Couture,Antonio Banderas,Jet Li,Wesley Snipes,Dolph Lundgren,Glen Powell,Mel Gibson,Harrison Ford,Arnold Schwarzenegger,Kellan Lutz,Kelsey Grammer,Robert Davi,Ronda Rousey,Victor Ortiz",3,"Action, Adventure, Thriller",Rated PG-13,126 minutes,The Expendables 3,2014,Patrick Hughes,"Sylvester Stallone, Jason Statham, Jet Li",6.1,"Action, Adventure, Thriller",126 min,1
112,1078,972,The Expendables 3,2014,Patrick Hughes,"Sylvester Stallone,Jason Statham,Terry Crews,Randy Couture,Antonio Banderas,Jet Li,Wesley Snipes,Dolph Lundgren,Glen Powell,Mel Gibson,Harrison Ford,Arnold Schwarzenegger,Kellan Lutz,Kelsey Grammer,Robert Davi,Ronda Rousey,Victor Ortiz",3,"Action, Adventure, Thriller",Rated PG-13,126 minutes,The Expendables 2,2012,Simon West,"Sylvester Stallone, Liam Hemsworth, Randy Couture",6.7,"Action, Adventure, Thriller",103 min,0
113,1078,1509,The Expendables 3,2014,Patrick Hughes,"Sylvester Stallone,Jason Statham,Terry Crews,Randy Couture,Antonio Banderas,Jet Li,Wesley Snipes,Dolph Lundgren,Glen Powell,Mel Gibson,Harrison Ford,Arnold Schwarzenegger,Kellan Lutz,Kelsey Grammer,Robert Davi,Ronda Rousey,Victor Ortiz",3,"Action, Adventure, Thriller",Rated PG-13,126 minutes,The Expendables,2010,Sylvester Stallone,"Sylvester Stallone, Jason Statham, Jet Li",6.5,"Action, Adventure, Thriller",103 min,0
114,1078,4697,The Expendables 3,2014,Patrick Hughes,"Sylvester Stallone,Jason Statham,Terry Crews,Randy Couture,Antonio Banderas,Jet Li,Wesley Snipes,Dolph Lundgren,Glen Powell,Mel Gibson,Harrison Ford,Arnold Schwarzenegger,Kellan Lutz,Kelsey Grammer,Robert Davi,Ronda Rousey,Victor Ortiz",3,"Action, Adventure, Thriller",Rated PG-13,126 minutes,The Expendables,1988,Cirio H. Santiago,"Anthony Finetti, Peter Nelson, Loren Haynes",4.2,"Action, Adventure, War",89 min,0
115,1092,1322,Jackpot,2014,Magnus Martens,"Kyrre Hellum,Mads Ousdal,Henrik Mestad,Andreas Cappelen,Arthur Berning,Lena Kristin Ellingsen,Fridtjov Sheim",1.5,"Action, Comedy, Crime",Rated NR,90 minutes,Jackpot,2011,Magnus Martens,"Kyrre Hellum, Mads Ousdal, Henrik Mestad",6.6,"Action, Comedy, Crime",90 min,1
116,1121,222,How to Train Your Dragon 2,2014,Dean Deblois,"Jay Baruchel,Cate Blanchett,Gerard Butler,Craig Ferguson,America Ferrera,Jonah Hill,Christopher Mintz-Plasse,T. J. Miller,Kristen Wiig,Djimon Hounsou,Kit Harington",3.5,"Action, Adventure, Animation",Rated PG,102 minutes,How to Train Your Dragon 2,2014,Dean DeBlois,"Jay Baruchel, Cate Blanchett, Gerard Butler",7.9,"Animation, Action, Adventure",102 min,1
117,1122,285,22 Jump Street,2014,"Phil Lord,Chris Miller","Jonah Hill,Channing Tatum,Ice Cube,Dave Franco,Nick Offerman,Peter Stormare,Rob Riggle,Wyatt Russell,Richard Grieco,Amber Stevens,Jillian Bell,Jimmy Tatro",3,"Action, Comedy",Rated R,112 minutes,22 Jump Street,2014,Phil Lord,"Channing Tatum, Jonah Hill, Ice Cube",7.1,"Action, Comedy, Crime",112 min,1
119,1134,1263,The Double,2014,Richard Ayoade,"Jesse Eisenberg,Mia Wasikowska,Wallace Shawn,Noah Taylor,Rade erbedija,Yasmin Paige,James Fox,Nathalie Cox,Phyllis Somerville,Sally Hawkins",3,Drama,Rated R,93 minutes,The Double,2011,Michael Brandt,"Richard Gere, Topher Grace, Martin Sheen",5.9,"Action, Crime, Drama",98 min,0
120,1137,201,Godzilla,2014,Gareth Edwards,"Bryan Cranston,Elizabeth Olsen,Aaron Taylor-Johnson,Juliette Binoche,Sally Hawkins,David Strathairn,Ken Watanabe,Victor Rasuk,Brian Markinson,Al Sapienza,Patrick Sabongui,Yuki Mortia",3.5,"Horror, Science Fiction",Rated PG-13,123 minutes,Godzilla,2014,Gareth Edwards,"Aaron Taylor-Johnson, Elizabeth Olsen, Bryan Cranston",6.5,"Action, Adventure, Sci-Fi",123 min,1
122,1142,637,Wolf Creek 2,2014,Greg Mclean,"John Jarratt,Ryan Corr,Shannon Ashlyn,Phillipe Klaus,Gerard Kennedy,Annie Byron",1,"Horror, Thriller",Rated NR,106 minutes,Wolf Creek 2,2013,Greg McLean,"John Jarratt, Ryan Corr, Shannon Ashlyn",6.1,"Action, Horror, Thriller",106 min,1
123,1159,219,Brick Mansions,2014,Camille Delamarre,"Paul Walker,David Belle,RZA,Robert Maillet,Carlo Rota,Catalina Denis,Ayisha Issa",2.5,"Action, Crime",Rated PG-13,90 minutes,Brick Mansions,2014,Camille Delamarre,"Paul Walker, David Belle, RZA",5.7,"Action, Crime, Drama",90 min,1
124,1168,235,The Amazing Spider-Man 2,2014,Marc Webb,"Andrew Garfield,Emma Stone,Jamie Foxx,Dane DeHaan,Colm Feore,Felicity Jones,Paul Giamatti,Sally Field,Marton Csokas,Embeth Davidtz,Denis Leary,Chris Zylka,B.J. Novak",2,"Action, Adventure, Fantasy",Rated PG-13,142 minutes,The Amazing Spider-Man 2,2014,Marc Webb,"Andrew Garfield, Emma Stone, Jamie Foxx",6.8,"Action, Adventure, Fantasy",142 min,1
125,1168,901,The Amazing Spider-Man 2,2014,Marc Webb,"Andrew Garfield,Emma Stone,Jamie Foxx,Dane DeHaan,Colm Feore,Felicity Jones,Paul Giamatti,Sally Field,Marton Csokas,Embeth Davidtz,Denis Leary,Chris Zylka,B.J. Novak",2,"Action, Adventure, Fantasy",Rated PG-13,142 minutes,The Amazing Spider-Man,2012,Marc Webb,"Andrew Garfield, Emma Stone, Rhys Ifans",7.1,"Action, Adventure, Fantasy",136 min,1
127,1171,5068,The Protector 2,2014,Prachya Pinkaew,"Tony Jaa,RZA,Petchtai Wongkamlao,JeeJa Yanin,Marrese Crump,Yayaying Rhatha Phongam",1.5,Action,Rated R,104 minutes,The Protector,1985,James Glickenhaus,"Jackie Chan, Danny Aiello, Sandy Alexander",5.6,"Action, Crime, Drama",91 min,0
128,1189,810,Rigor Mortis,2014,Juno Mak,"Chin Siu-Ho,Anthony Chan,Kara Hui,Richard Ng,Hoi-Pang Lo,Hee Ching Paw",3,"Action, Drama, Horror",,105 minutes,Rigor Mortis,2013,Juno Mak,"Anthony Chan, Siu-Ho Chin, Fat Chung",6.3,"Action, Drama, Horror",103 min,1
129,1220,279,The Raid 2,2014,Gareth Evans,"Iko Uwais,Julie Estelle,Arifin Putra,Tio Pakusodewo,Oka Antara,Ryuhei Matsuda,Ken'ichi End",2,"Action, Crime, Thriller",Rated R,,The Raid 2,2014,Gareth Evans,"Iko Uwais, Yayan Ruhian, Arifin Putra",8,"Action, Crime, Thriller",150 min,1
130,1220,6544,The Raid 2,2014,Gareth Evans,"Iko Uwais,Julie Estelle,Arifin Putra,Tio Pakusodewo,Oka Antara,Ryuhei Matsuda,Ken'ichi End",2,"Action, Crime, Thriller",Rated R,,The Raid,1954,Hugo Fregonese,"Van Heflin, Anne Bancroft, Richard Boone",6.9,"Action, Drama, War",83 min,0
132,1227,242,Noah,2014,Darren Aronofsky,"Russell Crowe,Jennifer Connelly,Emma Watson,Logan Lerman,Douglas Booth,Anthony Hopkins,Ray Winstone,Kevin Durand",3,"Action, Drama, Fantasy",Rated PG-13,,Noah,2014,Darren Aronofsky,"Russell Crowe, Jennifer Connelly, Anthony Hopkins",5.9,"Action, Adventure, Drama",138 min,1
133,1229,2228,Blood Ties,2014,Guillaume Canet,"Mila Kunis,Zoe Saldana,Marion Cotillard,Clive Owen,James Caan,Lili Taylor,Billy Crudup",2.5,"Crime, Drama, Thriller",Rated R,144 minutes,Blood Ties,2007,Kely McClung,"Kely McClung, Robert Pralgo, Erik Markus Schuetz",6.9,Action,93 min,0
135,1232,688,Afflicted,2014,"Clif Prowse,Derek Lee","Baya Rehaz,Derek Lee,Clif Prowse",2,"Action, Thriller",Rated R,85 minutes,Afflicted,2013,Derek Lee,"Clif Prowse, Derek Lee, Michael Gill",6.3,"Horror, Mystery, Thriller",85 min,0
138,1238,3682,Non-Stop,2014,Jaume Collet-Serra,"Liam Neeson,Julianne Moore,Scoot McNairy,Michelle Dockery,Anson Mount,Lupita Nyong'o,Corey Stoll,Linus Roache,Jon Abrahams",2.5,"Action, Mystery, Thriller",Rated PG-13,106 minutes,Non-Stop,1996,SABU,"Shin'ichi Tsutsumi, Tomorowo Taguchi, Diamond Yukai",7.2,"Comedy, Action, Crime",82 min,0
139,1240,633,Stalingrad,2013,Fedor Bondarchuk,"Mariya Smolnikova,Yanina Studilina,Pyotr Fyodorov,Thomas Kretschmann,Philippe Reinhardt,Sergey Bondarchuk,Dmitriy Lysenkov",2.5,"Action, Drama, War",Rated R,135 minutes,Stalingrad,2013,Fedor Bondarchuk,"Mariya Smolnikova, Yanina Studilina, Pyotr Fyodorov",5.6,"Action, Drama, War",131 min,1
140,1244,334,Gulaab Gang,2014,Soumik Sen,"Madhuri Dixit,Juhi Chawla,Priyanka Bose",2.5,"Action, Drama",Rated NR,139 minutes,Gulaab Gang,2014,Soumik Sen,"Madhuri Dixit, Juhi Chawla, Divya Jagdale",6.2,"Action, Drama",139 min,1
141,1245,1117,War of the Worlds: Goliath,2014,Joe Pearson,"Beau Billingslea,Jim Byrnes,Elizabeth Gracen,Adrian Paul,James Arnold Taylor",1.5,"Action, Adventure, Animation",Rated PG-13,85 minutes,War of the Worlds: Goliath,2012,Joe Pearson,"Adam Baldwin, Beau Billingslea, Kim Buckingham",5.4,"Animation, Action, Adventure",85 min,1
143,1251,653,Special ID,2014,Clarence Fok Yiu-leung,"Donnie Yen,Jing Tian,Andy On,Collin Chou,Ronald Cheng,Pau Hei-Ching,Ying Zhi-Gang",2.5,"Action, Adventure, Crime",,98 minutes,Special ID,2013,Clarence Yiu-leung Fok,"Donnie Yen, Tian Jing, Andy On",5.5,"Action, Crime, Drama",99 min,1
144,1255,208,300: Rise of an Empire,2014,Noam Murro,"Lena Headey,Sullivan Stapleton,Eva Green,Jack O'Connell,Rodrigo Santoro,David Wenham,Callan Mulvey,Andrew Tiernan,Ashraf Barhom,Andrew Pleavin",2.5,Action,Rated R,,300: Rise of an Empire,2014,Noam Murro,"Sullivan Stapleton, Eva Green, Lena Headey",6.3,"Action, Drama, Fantasy",102 min,1
145,1271,297,Need for Speed,2014,Scott Waugh,"Aaron Paul,Dominic Cooper,Imogen Poots,Scott Mescudi,Rami Malek,Ramn Rodrguez,Harrison Gilbertson,Dakota Johnson,Michael Keaton",1,"Action, Crime, Drama, Thriller",Rated PG-13,102 minutes,Need for Speed,2014,Scott Waugh,"Aaron Paul, Dominic Cooper, Imogen Poots",6.6,"Action, Crime, Drama",132 min,1
147,1304,271,The Outsider,2013,Brian A Miller,"Shannon Elizabeth,James Caan,Jason Patric,Craig Fairbrass,Melissa Ordway",1,"Action, Crime, Drama",Rated NR,94 minutes,The Outsider,2014,Brian A Miller,"Craig Fairbrass, James Caan, Jason Patric",4.8,"Action, Crime, Drama",94 min,1
149,1315,2454,Back in the Day,2014,Michael Rosenbaum,"Morena Baccarin,Michael Rosenbaum,Nick Swardson,Harland Williams,Jay R. Ferguson,Sarah Colonna,Isaiah Mustafa,Kristoffer Polaha,Emma Caulfield",1,Comedy,Rated R,94 minutes,Back in the Day,2005,James Hunter,"Joe Morton, Ja Rule, Norman Grant",4.5,"Action, Crime, Drama",103 min,0
151,1318,218,Ride Along,2014,Tim Story,"Kevin Hart,Tika Sumpter,Ice Cube,Jasmine Burke,David Banner,John Leguizamo,Laurence Fishburne,Jay Pharaoh",2,"Action, Comedy",Rated PG-13,,Ride Along,2014,Tim Story,"Ice Cube, Kevin Hart, Tika Sumpter",6.1,"Action, Comedy",99 min,1
154,1337,3994,47 Ronin,2013,Carl Rinsch,"Keanu Reeves,Hiroyuki Sanada,Kou Shibasaki,Tadanobu Asano,Rinko Kikuchi,Min Tanaka,Jin Akanishi,Masayoshi Haneda,Hiroshi Sogabe,Takato Yonemoto",1,"Action, Adventure, Drama, Fantasy",Rated PG-13,119 minutes,47 Ronin,1994,Kon Ichikawa,"Ken Takakura, Kiichi Nakai, Rie Miyazawa",6.7,"Action, Drama",132 min,0
155,1345,960,Beyond Outrage,2014,Takeshi Kitano,"Takeshi Kitano,Ryo Kase,Toshiyuki Nishida,Shun Sugata,Fumiyo Kohinata,Hideo Nakano",2.5,"Action, Foreign",Rated R,110 minutes,Beyond Outrage,2012,Takeshi Kitano,"Toshiyuki Nishida, Tomokazu Miura, Takeshi Kitano",6.7,"Action, Crime, Drama",112 min,1
157,1349,4453,RoboCop,2014,Jos Padilha,"Joel Kinnaman,Gary Oldman,Michael Keaton,Abbie Cornish,Samuel L. Jackson,Jackie Earle Haley,Jennifer Ehle,Jay Baruchel",1,"Action, Crime, Science Fiction, Thriller",Rated PG-13,102 minutes,RoboCop 2,1990,Irvin Kershner,"Peter Weller, Belinda Bauer, John Glover",5.7,"Action, Sci-Fi",117 min,0
158,1349,4853,RoboCop,2014,Jos Padilha,"Joel Kinnaman,Gary Oldman,Michael Keaton,Abbie Cornish,Samuel L. Jackson,Jackie Earle Haley,Jennifer Ehle,Jay Baruchel",1,"Action, Crime, Science Fiction, Thriller",Rated PG-13,102 minutes,RoboCop,1987,Paul Verhoeven,"Peter Weller, Nancy Allen, Dan O'Herlihy",7.5,"Action, Crime, Sci-Fi",102 min,0
159,1353,934,Easy Money: Hard to Kill,2014,Babak Najafi,"Joel Kinnaman,Matias Varela,Dragomir Mrsic,Fares Fares,Dejan uki",2,"Action, Crime, Drama, Thriller",,99 minutes,Easy Money II: Hard to Kill,2012,Babak Najafi,"Joel Kinnaman, Matias Varela, Dragomir Mrsic",6.2,"Action, Crime, Drama",99 min,1
160,1360,335,Gunday,2014,Ali Abbas Zafar,"Ranveer Singh,Arjun Kapoor,Priyanka Chopra,Irrfan Khan",3,"Action, Crime, Drama",Rated NR,152 minutes,Gunday,2014,Ali Abbas Zafar,"Ranveer Singh, Arjun Kapoor, Priyanka Chopra",2,"Action, Crime, Drama",152 min,1
161,1360,3496,Gunday,2014,Ali Abbas Zafar,"Ranveer Singh,Arjun Kapoor,Priyanka Chopra,Irrfan Khan",3,"Action, Crime, Drama",Rated NR,152 minutes,Gunda,1998,Kanti Shah,"Mithun Chakraborty, Verna Raj, Ishrat Ali",8.2,"Action, Comedy, Crime",129 min,0
162,1366,265,3 Days to Kill,2014,McG,"Kevin Costner,Amber Heard,Hailee Steinfeld,Connie Nielsen,Richard Sammel,Tmas Lemarquis,Marc Androni,Eriq Ebouaney",2,"Action, Crime, Drama, Thriller",Rated PG-13,113 minutes,3 Days to Kill,2014,McG,"Kevin Costner, Hailee Steinfeld, Connie Nielsen",6.2,"Action, Drama, Thriller",117 min,1
163,1376,733,Enemies Closer,2014,Peter Hyams,"Jean-Claude Van Damme,Tom Everett Scott,Orlando Jones,Linzey Cocker,Kristopher Van Varenberg",2.5,"Action, Thriller",Rated R,85 minutes,Enemies Closer,2013,Peter Hyams,"Tom Everett Scott, Jean-Claude Van Damme, Orlando Jones",5.1,"Action, Thriller",85 min,1
165,1396,666,Welcome to the Jungle,2013,Rob Meltzer,"Kristen Schaal,Megan Boone,Jean-Claude Van Damme,Adam Brody,Rob Huebel,Aaron Takahashi,Bianca Bree,Eric Edelstein,Robert Peters",1,Comedy,Rated NR,95 minutes,Welcome to the Jungle,2013,Rob Meltzer,"Jean-Claude Van Damme, Adam Brody, Rob Huebel",5,"Action, Adventure, Comedy",95 min,1
167,1413,573,Oldboy,2013,Spike Lee,"Josh Brolin,Samuel L. Jackson,Elizabeth Olsen,Sharlto Copley,Lance Reddick,Michael Imperioli,Richard Portnow,Max Casella",3,"Drama, Mystery, Thriller",Rated R,,Oldboy,2013,Spike Lee,"Josh Brolin, Elizabeth Olsen, Samuel L. Jackson",5.8,"Action, Drama, Mystery",104 min,1
168,1416,690,Homefront,2013,Gary Fleder,"James Franco,Jason Statham,Winona Ryder,Rachelle Lefevre,Kate Bosworth",2.5,"Action, Thriller",Rated R,,Homefront,2013,Gary Fleder,"Jason Statham, James Franco, Winona Ryder",6.5,"Action, Crime, Drama",100 min,1
169,1438,929,Aftermath,2013,Wadysaw Pasikowski,"Ireneusz Czop,Maciej Stuhr,Jerzy Radziwiowicz,Zuzana Fialov,Andrzej Mastalerz,Zbigniew Zamachowski,Danuta Szaflarska,Jerzy Szynkiewicz",1.5,"Drama, Thriller",Rated NR,107 minutes,Aftermath,2012,Peter Engert,"C.J. Thomason, Monica Keena, Edward Furlong",4.6,"Action, Thriller",92 min,0
170,1449,773,Boss,2013,Anthony D'Souza,"Akshay Kumar,Mithun Chakraborty,Shiv Pandit,Ronit Roy,Aditi Rao Hydari",1.5,"Action, Drama",Rated NR,143 minutes,Boss,2013,Anthony D'Souza,"Akshay Kumar, Shiv Pandit, Mithun Chakraborty",5.4,"Action, Comedy, Drama",143 min,1
171,1451,617,Big Ass Spider!,2013,Mike Mendez,"Greg Grunberg,Lombardo Boyar,Clare Kramer,Ray Wise,Lin Shaye,Patrick Bauchau,Lloyd Kaufman",2,Science Fiction,Rated PG-13,85 minutes,Big Ass Spider!,2013,Mike Mendez,"Greg Grunberg, Lin Shaye, Ruben Pla",5.3,"Action, Comedy, Sci-Fi",80 min,1
172,1462,639,Man of Tai Chi,2013,Keanu Reeves,"Keanu Reeves, Tiger Hu Chen,Jeremy Marinas,Steven Dasz,Karen Mok Man-Wai,Michael Chan,Qing Ye,Yu Hai,Sam Lee,Iko Uwais",3,Action,Rated R,105 minutes,Man of Tai Chi,2013,Keanu Reeves,"Tiger Hu Chen, Keanu Reeves, Karen Mok",6.1,"Action, Drama",105 min,1
173,1464,607,Ender's Game,2013,Gavin Hood,"Asa Butterfield,Hailee Steinfeld,Harrison Ford,Abigail Breslin,Aramis Knight,Moiss Arias,Jimmy ""Jax"" Pinchak,Viola Davis,Ben Kingsley,Suraj Partha,Khlylin Rhambo",2,Science Fiction,Rated PG-13,110 minutes,Ender's Game,2013,Gavin Hood,"Harrison Ford, Asa Butterfield, Hailee Steinfeld",6.7,"Action, Sci-Fi",114 min,1
174,1492,6243,Hellbenders,2013,J.T. Petty,"Clifton Collins Jr.,Clancy Brown,Andre Royo,Robyn Rikoon",1.5,"Action, Foreign",Rated R,,Hellbenders,1967,Sergio Corbucci,"Joseph Cotten, Norma Bengell, Al Mulock",6.9,"Action, Adventure, Drama",90 min,0
175,1494,1668,Haunter,2013,Vincenzo Natali,"Abigail Breslin,Stephen McHattie,David Hewlett,David Knoller,Peter Outerbridge,Michelle Nolden",2.5,"Horror, Mystery, Thriller",,97 minutes,Haunters,2010,Min-suk Kim,"Dong-won Kang, Duek-mun Choi, Jeong Eun-Chae",6.3,"Action, Sci-Fi, Thriller",100 min,0
176,1496,581,Riddick,2013,David Twohy,"Vin Diesel,Karl Urban,Katee Sackhoff,Jordi Moll,Bokeem Woodbine,Nolan Gerard Funk,Noah Danby,Neil Napier,Dave Bautista",2.5,"Action, Science Fiction, Thriller",Rated R,119 minutes,Riddick,2013,David Twohy,"Vin Diesel, Karl Urban, Katee Sackhoff",6.4,"Action, Sci-Fi, Thriller",119 min,1
177,1499,591,The Mortal Instruments: City of Bones,2013,Harald Zwart,"Lily Collins,Jamie Campbell Bower,Kevin Zegers,Jemima West,Robert Sheehan,Jared Harris,Lena Headey,Aidan Turner,Godfrey Gao",1,"Action, Adventure, Drama",,,The Mortal Instruments: City of Bones,2013,Harald Zwart,"Lily Collins, Jamie Campbell Bower, Robert Sheehan",6,"Action, Adventure, Fantasy",130 min,1
178,1506,572,The World's End,2013,Edgar Wright,"Simon Pegg,Nick Frost,Rosamund Pike,Paddy Considine,Eddie Marsan,Martin Freeman,David Bradley,Bill Nighy",3.5,"Action, Comedy, Science Fiction",Rated R,109 minutes,The World's End,2013,Edgar Wright,"Simon Pegg, Nick Frost, Martin Freeman",7,"Action, Comedy, Sci-Fi",109 min,1
179,1507,585,The Grandmaster,2013,Wong Kar-Wai,"Tony Leung Chiu-Wai,Ziyi Zhang,Song Hye-Kyo,Chang Chen,Wong Hing-Cheung,Zhao Ben-Shan",3,"Action, Drama, Foreign, History",Rated PG-13,130 minutes,The Grandmaster,2013,Kar Wai Wong,"Tony Chiu Wai Leung, Ziyi Zhang, Jin Zhang",6.5,"Action, Biography, Drama",130 min,1
180,1524,4334,Rush,2013,Ron Howard,"Daniel Brhl,Chris Hemsworth,Olivia Wilde,Alexandra Maria Lara,Natalie Dormer,Christian McKay,Tom Wlaschiha",2,"Action, Drama, Sports Film",Rated R,123 minutes,Rush,1991,Lili Fini Zanuck,"Jason Patric, Jennifer Jason Leigh, Sam Elliott",6.7,"Action, Crime, Drama",120 min,0
182,1533,753,Ip Man: The Final Fight,2013,Herman Yau,"Anthony Wong Chau-Sang,Gillian Chung,Eric Tsang,Zhou Chu-Chu,Timmy Hung,Jiang Lu-Xia,Xiong Xin-Xin,Anita Yuen,Jordan Chan Siu-Chun",2.5,"Action, Drama",Rated PG-13,100 minutes,Ip Man: The Final Fight,2013,Herman Yau,"Anthony Chau-Sang Wong, Gillian Chung, Jordan Chan",6.1,"Action, Biography, Drama",100 min,1
183,1535,569,The Colony,2013,Jeff Renfroe,"Laurence Fishburne,Kevin Zegers,Bill Paxton,Charlotte Sullivan,John Tench,Atticus Dean Mitchell,Dru Viergever,Romano Orzari",1.5,"Action, Science Fiction, Thriller",Rated NR,95 minutes,The Colony,2013,Jeff Renfroe,"Kevin Zegers, Laurence Fishburne, Bill Paxton",5.3,"Action, Horror, Sci-Fi",95 min,1
185,1553,636,Machete Kills,2013,Robert Rodriguez,"Jessica Alba,Mel Gibson,Michelle Rodriguez,Danny Trejo,Tom Savini,Sofa Vergara,Lady Gaga,Vanessa Hudgens,Alexa Vega,Cuba Gooding Jr.,Amber Heard,Demin Bichir,Charlie Sheen",2,Action,Rated R,107 minutes,Machete Kills,2013,Robert Rodriguez,"Danny Trejo, Alexa PenaVega, Mel Gibson",5.6,"Action, Crime, Thriller",107 min,1
186,1577,6138,The Family,2013,Luc Besson,"Robert De Niro,Michelle Pfeiffer,Tommy Lee Jones,Dianna Agron,John D'Leo,Vincent Pastore,Joseph Perrino,Paul Borghese,Jimmy Palumbo,Kresh Novakovic",3,"Comedy, Crime, Drama, Thriller",Rated R,,The Family,1970,Sergio Sollima,"Charles Bronson, Jill Ireland, Michel Constantin",6.5,"Action, Crime, Thriller",100 min,0
187,1579,825,Madras Cafe,2013,Shoojit Sircar,"John Abraham,Nargis Fakhri,Rashi Khanna,Siddharth Basu,Prakash Belawadi",1.5,,,,Madras Cafe,2013,Shoojit Sircar,"Nargis Fakhri, John Abraham, Rashi Khanna",7.8,"Action, Drama, History",130 min,1
188,1580,1051,I Declare War,2013,"Jason Lapeyre,Robert Wilson","Siam Yu,Gage Munroe,Michael Friend,Aidan Gouveia,Mackenzie Munro,Alex Cardillo,Dyson Fyke,Spencer Howes,Andy Reid,Kolton Stewart,Richard Nguyen,Eric Hanson,Alex Wall",1.5,"Action, Comedy, Drama",Rated R,94 minutes,I Declare War,2012,Jason Lapeyre,"Siam Yu, Kolton Stewart, Gage Munroe",6,"Action, Comedy, Drama",94 min,1
189,1582,658,Getaway,2013,Courtney Solomon,"Ethan Hawke,Selena Gomez,Jon Voight,Paul Freeman,Bruce Payne,Rebecca Budig",1.5,"Action, Crime",Rated PG-13,,Getaway,2013,Courtney Solomon,"Ethan Hawke, Selena Gomez, Jon Voight",4.4,"Action, Crime, Thriller",90 min,1
