id,movie_name,year,directors,actors,critic_rating,genre,pg_rating,duration
834,the king and the mockingbird,2014,Paul Grimault,"Jean Martin,Pascal Mazzotti,Raymond Bussières",3.5,"Animation, Family, Fantasy",,83 minutes
835,v/h/s: viral,2014,"Justin Benson,Gregg Bishop,Aaron Moorhead,Marcel Sarmiento,Nacho Vigalondo","Justin Welborn,Emmy Argo,Gustavo Salmerón,Emilia Ares Zoryan",1.0,"Horror, Thriller",Rated R,82 minutes
836,a girl walks home alone at night,2014,Ana Lily Amirpour,"Sheila Vand,Arash Marandi,Marshall Manesh,Dominic Rains ",3.5,"Horror, Western",,99 minutes
837,reach me,2014,John Herzfeld,"Sylvester Stallone,Lauren Cohan,Tom Berenger,Cary Elwes,Terry Crews,Thomas Jane,Tom Sizemore,Nelly,Omari Hardwick,David O'Hara,Kelsey Grammer,Danny Aiello,Danny Trejo",1.0,Drama,Rated PG-13,95 minutes
838,murder of a cat,2014,Gillian Greene,"Fran Kranz,Greg Kinnear,Nikki Reed,J.K. Simmons,Blythe Danner",1.0,"Comedy, Thriller",,96 minutes
839,horrible bosses 2,2014,Sean Anders,"Jason Sudeikis,Jason Bateman,Charlie Day,Jennifer Aniston,Kevin Spacey,Jamie Foxx,Chris Pine,Christoph Waltz",2.0,Comedy,Rated R,108 minutes
840,"1,000 times good night",2014,Erik Poppe,"Juliette Binoche,Nikolaj Coster-Waldau,Maria Doyle Kennedy, Larry Mullen Jr.",2.5,Drama,,117 minutes
841,dear white people,2014,Justin Simien,"Tyler James Williams,Tessa Thompson,Teyonah Parris,Brandon P. Bell,Kyle Gallner,Dennis Haysbert",3.5,"Comedy, Drama",Rated R,100 minutes
842,the tale of the princess kaguya,2014,Isao Takahata,,4.0,"Animation, Drama, Fantasy",Rated PG,137 minutes
843,listen up philip,2014,Alex Ross Perry,"Jason Schwartzman,Elisabeth Moss,Jonathan Pryce,Krysten Ritter,Joséphine de La Baume,Jess Weixler,Kate Lyn Sheil,Dree Hemingway,Keith Poulson",3.0,Drama,Rated NR,108 minutes
844,birdman,2014,Alejandro González Iñárritu,"Michael Keaton,Emma Stone,Zach Galifianakis,Edward Norton,Naomi Watts,Amy Ryan",4.0,"Comedy, Drama",Rated R,119 minutes
845,rudderless,2014,William H. Macy,"Billy Crudup,Anton Yelchin,Felicity Huffman,Selena Gomez,Laurence Fishburne,William H. Macy",3.0,"Comedy, Drama, Music",Rated R,105 minutes
846,private violence,2014,Cynthia Hill,,3.0,Documentary,,81 minutes
847,the heart machine,2014,Zachary Wigon,"John Gallagher Jr.,Kate Lyn Sheil,David Call,Louisa Krause,Roderick Hill,Halley Wegryn-Gross",3.0,"Drama, Thriller",,85 minutes
848,stonehearst asylum,2014,Brad Anderson,"Kate Beckinsale,Michael Caine,Jim Sturgess,Ben Kingsley,Brendan Gleeson,David Thewlis,Jason Flemyng",2.0,Thriller,Rated PG-13,112 minutes
849,life of riley,2014,Alain Resnais,"Sabine Azema,Hippolyte Girardot,Caroline Sihol,Michel Vuillermoz,Andre Dussollier",4.0,Drama,,108 minutes
850,white bird in a blizzard,2014,Gregg Araki,"Shailene Woodley,Eva Green,Christopher Meloni,Shiloh Fernandez,Gabourey Sidibe,Thomas Jane,Angela Bassett,Dale Dickey,Sheryl Lee",2.0,"Drama, Thriller",Rated R,91 minutes
851,citizenfour,2014,Laura Poitras,,4.0,Documentary,,114 minutes
852,force majeure,2014,Ruben Östlund,"Johannes Kuhnke,Lisa Loven Kongsli,Clara Wettergren,Vincent Wettergren,Brady Corbet",3.5,Drama,Rated R,118 minutes
853,ouija,2014,Stiles White,"Olivia Cooke,Ana Coto,Daren Kagasoff",3.0,Horror,Rated PG-13,89 minutes
854,john wick,2014,"David Leitch,Chad Stahelski","Keanu Reeves,Michael Nyqvist,Alfie Allen,Willem Dafoe,Dean Winters,Adrianne Palicki,Bridget Moynahan,John Leguizamo,Ian McShane,Lance Reddick",3.0,"Action, Thriller",Rated R,101 minutes
855,laggies,2014,Lynn Shelton,"Keira Knightley,Sam Rockwell,Chloë Grace Moretz,Mark Webber,Ellie Kemper,Jeff Garlin,Kaitlyn Dever",2.0,Comedy,Rated R,100 minutes
856,low down,2014,Jeff Preiss,"Lena Headey,Elle Fanning,Taryn Manning,Peter Dinklage,John Hawkes,Glenn Close,Michael Peter Balzary,Tim Daly,Anaya Floyd Flea",3.5,Drama,Rated R,119 minutes
857,point and shoot,2014,Marshall Curry,,1.5,Documentary,,83 minutes
858,abcs of death 2,2014,"Álex de la Iglesia,Rodney Ascher,Bill Plympton,Erik Matti,Lancelot Oduwa Imasuen,Kristina Buozyte,Bruno Samper,Sion Sono,Vincenzo Natali,Larry Fessenden,Marcus Dunstan,Julien Maury,Alexandre Bustillo,E.L. Katz,Sylvia Soska,Jen Soska,Aharon Keshales,Navot Papushado,Julian Gilbey,Dennison Ramalho,Jerome Sable,Robert Morgan",,2.5,Horror,,125 minutes
859,happy new year,2014,Farah Khan,"Shahrukh Khan,Deepika Padukone,Abhishek Bachchan,Jackie Shroff,Boman Irani,Sonu Sood",2.5,"Action, Comedy, Drama, Romance",,180 minutes
860,revenge of the green dragons,2014,"Andrew Lau Wai-Keung,Andrew Loo","Justin Chon,Kevin Wu,Harry Shum Jr.,Ray Liotta",1.5,"Action, Crime, Drama",Rated R,94 minutes
861,the great invisible,2014,Margaret Brown,,3.0,Documentary,,92 minutes
862,goodbye to language,2014,Jean-Luc Godard,"Héloise Godet,Kamel Abdeli,Richard Chevallier,Zoé Bruneau,Jessica Erickson",3.5,Drama,,70 minutes
863,before i go to sleep,2014,Rowan Joffe,"Nicole Kidman,Colin Firth,Mark Strong,Anne-Marie Duff",1.5,"Drama, Thriller",Rated R,92 minutes
864,the foxy merkins,2014,Madeleine Olnek,"Lisa Haas,Jackie Monahan,Margaret Abbott",2.0,"Adventure, Comedy",,81 minutes
865,life partners,2014,Susanna Fogel,"Leighton Meester,Gillian Jacobs,Adam Brody,Gabourey Sidibe,Beth Dover,Abby Elliott,Mark Feuerstein,Kate McKinnon,Greer Grammer",2.5,"Comedy, Romance",Rated R,93 minutes
866,take care,2014,Liz Tuccillo,"Leslie Bibb,Thomas Sadoski,Marin Ireland,Michael Stahl-David,Nadia Dajani",2.0,"Comedy, Drama, Romance",,94 minutes
867,pioneer,2014,Erik Skjoldbjærg,"Wes Bentley,Stephen Lang,Aksel Hennie,Jonathan LaPaglia,Stephanie Sigman",2.5,Suspense,Rated R,111 minutes
868,still alice,2014,"Richard Glatzer,Wash Westmoreland","Kristen Stewart,Julianne Moore,Kate Bosworth,Hunter Parrish,Alec Baldwin",2.5,Drama,Rated PG-13,101 minutes
869,miss julie,2014,Liv Ullmann,"Jessica Chastain,Colin Farrell,Samantha Morton,Nora McMenamy",3.0,Drama,,129 minutes
870,wild,2014,Jean-Marc Vallée,"Reese Witherspoon,Laura Dern,Gaby Hoffmann,Thomas Sadoski,W. Earl Brown,Charles Baker,Kevin Rankin,Brian Van Holt,J.D. Evermore",3.0,Drama,Rated R,115 minutes
871,dying of the light,2014,Paul Schrader,"Nicolas Cage,Anton Yelchin,Alexander Karim,Irène Jacob",2.0,"Drama, Thriller",Rated R,94 minutes
872,comet,2014,Sam Esmail,"Emmy Rossum,Justin Long,Eric Winter",3.0,"Comedy, Drama, Romance",Rated R,91 minutes
873,exodus: gods and kings,2014,Ridley Scott,"Christian Bale,Joel Edgerton,Aaron Paul,Ben Kingsley,Ben Mendelsohn,John Turturro,Sigourney Weaver,Indira Varma,María Valverde,Golshifteh Farahani",1.5,"Action, Adventure, Drama",Rated PG-13,150 minutes
874,the pyramid,2014,Grégory Levasseur,"Ashley Hinshaw,James Buckley,Denis O'Hare,Amir K,Christa Nicola,Prince Shah,Joseph Beddelem,Garsha Arristos,Omar Benbrahim",1.5,Horror,Rated R,89 minutes
875,inherent vice,2014,Paul Thomas Anderson,"Joaquin Phoenix,Josh Brolin,Owen Wilson,Katherine Waterston,Reese Witherspoon,Benicio Del Toro,Jena Malone,Maya Rudolph,Martin Short,Martin Donovan,Eric Roberts,Michael K. Williams",4.0,"Crime, Drama, Mystery, Romance",Rated R,148 minutes
876,the color of time,2014,"Edna Luise Biesold,Sarah-Violet Bliss,Gabrielle Demeestere,Alexis Gambis,Brooke Goldfinch,Shripriya Mahesh,Pamela Romanowsky,Bruce Thierry Cheung,Tine Thomasen,Virginia Urreiztieta,Omar Zúñiga Hidalgo,Shruti Ganguly","James Franco,Mila Kunis,Jessica Chastain,Zach Braff,Henry Hopper,Bruce Campbell,Vince Jolivette",1.0,Drama,Rated R,73 minutes
877,remote area medical,2014,"Jeff Reichert,Farihah Zaman",,3.0,Documentary,,81 minutes
878,the captive,2014,Atom Egoyan,"Ryan Reynolds,Scott Speedman,Rosario Dawson,Mireille Enos,Kevin Durand,Alexia Fast,Peyton Kennedy,Bruce Greenwood",3.0,Thriller,,112 minutes
879,after the fall,2014,Saar Klein,"Wes Bentley,Vinessa Shaw,Jason Isaacs,Haley Bennett",1.0,"Crime, Drama",Rated R,110 minutes
880,we are the giant,2014,Greg Barker,,3.0,Documentary,,92 minutes
881,magician: the astonishing life and work of orson welles,2014,Chuck Workman,,3.0,Documentary,Rated PG-13,94 minutes
882,goodbye to all that,2014,Angus MacLachlan,"Paul Schneider,Melanie Lynskey,Audrey P. Scott,Anna Camp,Heather Graham",3.0,Comedy,,87 minutes
883,top five,2014,Chris Rock,"Chris Rock,Rosario Dawson,Gabrielle Union,J. B. Smoove,Cedric The Entertainer,Kevin Hart,Adam Sandler,Whoopi Goldberg,Jerry Seinfeld,Hayley Marie Norman,Romany Malco,Tracy Morgan,Sherri Shepherd,Leslie Jones,Ben Vereen,Tom Papa",3.0,"Comedy, Drama",Rated R,101 minutes
884,"if you don't, i will",2014,Sophie Fillières,"Emmanuelle Devos,Mathieu Amalric,Anne Brochet,Joséphine de La Baume,Nelson Delapalme,Laurent Poitrenaux,Julia Roy",3.0,Comedy,,102 minutes
885,the hobbit: the battle of the five armies,2014,Peter Jackson,"Martin Freeman,Ian McKellen,Richard Armitage,Aidan Turner,Orlando Bloom,Evangeline Lilly,John Bell,Dean O'Gorman,Lee Pace,Benedict Cumberbatch,Luke Evans,Cate Blanchett,Hugo Weaving,Christopher Lee,Billy Connolly,Ian Holm,James Nesbitt",2.5,"Adventure, Fantasy",Rated PG-13,144 minutes
886,beyond the lights,2014,Gina Prince-Bythewood,"Minnie Driver,Gugu Mbatha-Raw,Danny Glover,Jordan Belfi,Nate Parker,Aisha Hinds",4.0,Drama,Rated PG-13,116 minutes
887,night at the museum: secret of the tomb,2014,Shawn Levy,"Ben Stiller,Robin Williams,Rami Malek,Rebel Wilson,Dan Stevens,Owen Wilson,Dick Van Dyke,Rachael Harris,Ben Kingsley,Ricky Gervais,Mickey Rooney,Dan Stevens,Steve Coogan",2.0,"Adventure, Comedy, Family, Fantasy",Rated PG,97 minutes
888,rosewater,2014,Jon Stewart,"Gael García Bernal,Shohreh Aghdashloo,Jason Jones,Haluk Bilginer,Nasser Faris",3.0,Drama,Rated R,103 minutes
889,foxcatcher,2014,Bennett Miller,"Channing Tatum,Steve Carell,Mark Ruffalo,Anthony Michael Hall,Sienna Miller,Vanessa Redgrave",2.5,"Drama, Sport",Rated R,134 minutes
890,penguins of madagascar,2014,"Eric Darnell,Simon J. Smith","Tom McGrath,Chris Miller,Christopher Knights,Benedict Cumberbatch,Ken Jeong,Annet Mahendru,Peter Stormare,John Malkovich,Conrad Vernon",3.0,"Adventure, Animation, Comedy, Family",Rated PG,92 minutes
891,the imitation game,2014,Morten Tyldum,"Benedict Cumberbatch,Keira Knightley,Mark Strong,Matthew Goode,Rory Kinnear,Charles Dance,Allen Leech,Matthew Beard",3.5,"Drama, History, Thriller, War",Rated PG-13,114 minutes
892,the immortalists,2014,"David Alvarado,Jason Sussberg",,2.5,Documentary,,78 minutes
893,zero motivation,2014,Talya Lavie,"Dana Ivgy,Nelly Tagar,Shani Klein,Heli Twito",3.5,Comedy,,100 minutes
894,the kingdom of dreams and madness,2014,Mami Sunada,,3.0,"Animation, Documentary",,118 minutes
895,the babadook,2014,Jennifer Kent,"Essie Davis,Noah Wiseman,Daniel Henshall,Hayley McElhinney,Cathy Adamek,Craig Behenna",3.5,"Drama, Horror, Thriller",Rated NR,93 minutes
896,horns,2014,Alexandre Aja,"Daniel Radcliffe,Juno Temple,Heather Graham,Sabrina Carpenter,Kelli Garner,David Morse,James Remar,Joe Anderson,Max Minghella,Kathleen Quinlan",2.0,"Drama, Fantasy, Horror, Thriller",Rated R,120 minutes
897,revenge of the mekons,2014,Joe Angio,,3.0,"Documentary, Music",Rated NR,95 minutes
898,concerning violence,2014,Göran Olsson,,1.5,Documentary,,78 minutes
899,nightcrawler,2014,Dan Gilroy,"Jake Gyllenhaal,Rene Russo,Riz Ahmed,Bill Paxton",4.0,"Crime, Drama, Thriller",Rated R,117 minutes
900,national gallery,2014,Frederick Wiseman,,4.0,Documentary,,180 minutes
901,the tower,2014,Christian Schwochow,"Jan Josef Liefers,Claudia Michelsen,Nadja Uhl,Sebastian Urzendowsky,Götz Schubert,Stephanie Stumph,Udo Schenk",3.0,Drama,,180 minutes
902,interstellar,2014,Christopher Nolan,"Matthew McConaughey,Wes Bentley,Anne Hathaway,Jessica Chastain,Michael Caine,John Lithgow,Topher Grace,Casey Affleck,Mackenzie Foy,Ellen Burstyn,Bill Irwin,Collette Wolfe,David Oyelowo,William Devane",3.5,Science Fiction,Rated PG-13,169 minutes
903,"on any sunday, the next chapter",2014,Dana Brown,,2.5,Documentary,Rated PG,90 minutes
904,the way he looks,2014,Daniel Ribeiro,"Ghilherme Lobo,Fabio Audi,Selma Egrei,Tess Amorim,Eucir de Souza,Júlio Machado,Naruna Costa",3.0,"Drama, Romance",Rated NR,95 minutes
905,elsa & fred,2014,Michael Radford,"Shirley MacLaine,Christopher Plummer,Marcia Gay Harden,Scott Bakula,Chris Noth,George Segal,Erika Alexander,James Brolin,Wendell Pierce",1.0,"Comedy, Family, Romance",Rated PG-13,94 minutes
906,jessabelle,2014,Kevin Greutert,"Sarah Snook,Joelle Carter,Mark Webber,David Andrews,Ana de la Reguera,Chris Ellis,Larisa Oleynik",1.5,"Horror, Thriller",Rated PG-13,90 minutes
907,open windows,2014,Nacho Vigalondo,"Elijah Wood,Sasha Grey,Neil Maskell,Nacho Vigalondo,Scott Weinberg",3.0,"Action, Crime, Suspense",Rated NR,100 minutes
908,a merry friggin' christmas,2014,Tristram Shapeero,"Robin Williams,Lauren Graham,Pierce Gagnon,Wendi McLendon-Covey,Joel McHale,Candice Bergen,Clark Duke,Oliver Platt",1.5,Comedy,Rated PG-13,88 minutes
909,why don't you play in hell?,2014,Sion Sono,"Jun Kunimura,Shinichi Tsutsumi,Fumi Nikaidô,Hiroki Hasegawa,Gen Hoshino",3.0,"Action, Drama",,129 minutes
910,actress,2014,Robert Greene,Brandy Burre,3.0,Documentary,,86 minutes
911,big hero 6,2014,"Don Hall,Chris Williams","Ryan Potter,Scott Adsit,Jamie Chung,Génesis Rodríguez,Damon Wayans, Jr.,T.J. Miller,Alan Tudyk,James Cromwell,Maya Rudolph,Daniel Henney",3.0,"Action, Animation, Comedy, Family, Science Fiction",Rated PG,108 minutes
912,the theory of everything,2014,James Marsh,"Eddie Redmayne,Felicity Jones,David Thewlis,Emily Watson,Simon McBurney,Charlie Cox",2.5,Drama,Rated PG-13,123 minutes
913,the better angels,2014,A.J. Edwards,"Jason Clarke,Diane Kruger,Brit Marling,Wes Bentley",3.0,"Drama, History",Rated PG,95 minutes
914,21 years: richard linklater,2014,"Michael Dunaway,Tara Wood",,2.5,Documentary,,78 minutes
915,saving christmas,2014,Darren Doane,"Kirk Cameron,Bridgette Cameron,Darren Doane",1.0,Family,Rated PG,80 minutes
916,miss meadows,2014,Karen Leigh Hopkins,"Katie Holmes,James Badge Dale,Callan Mulvey,Mary Kay Place",1.0,Drama,Rated NR,88 minutes
917,wolves,2014,David Hayter,"Jason Momoa,Lucas Till,John Pyper-Ferguson,Stephen McHattie,Merritt Patterson",2.0,"Action, Horror",Rated R,90 minutes
918,starry eyes,2014,"Kevin Kolsch,Dennis Widmyer","Alex Essoe,Amanda Fuller,Noah Segan,Fabianne Therese,Pat Healy",3.0,Horror,Rated NR,98 minutes
919,bad turn worse,2014,"Simon Hawkins,Zeke Hawkins","Mark Pellegrino,Jon Gries,Jeremy Allen White,William Devane,Logan Huffman,Mackenzie Davis",3.0,"Crime, Drama, Thriller",Rated NR,92 minutes
920,my old lady,2014,Israel Horovitz,"Maggie Smith,Kevin Kline,Kristin Scott Thomas",3.0,"Comedy, Drama",Rated PG-13,104 minutes
921,i am eleven,2014,,,2.0,Documentary,Rated NR,93 minutes
922,god help the girl,2014,Stuart Murdoch,"Emily Browning,Olly Alexander,Hannah Murray",2.0,"Comedy, Drama",Rated NR,111 minutes
923,archaeology of a woman,2014,,,1.5,Drama,Rated NR,94 minutes
924,bird people,2014,Pascale Ferran,"Josh Charles,Radha Mitchell,Mathieu Amalric,Clark Johnson",2.0,"Drama, Fantasy, Romance",Rated NR,127 minutes
925,at the devil's door,2014,Nicholas McCarthy,"Naya Rivera,Catalina Sandino Moreno,Ashley Rickards,Kate Flannery",3.0,Horror,Rated NR,91 minutes
926,the homestretch,2014,"Anne de Mare,Kirsten Kelly",,3.0,Documentary,Rated NR,90 minutes
927,no good deed,2014,Sam Miller,"Idris Elba,Taraji P. Henson,Mark Rhino Smith,Frank Brennan",1.0,Thriller,Rated PG-13,84 minutes
928,dolphin tale 2,2014,,"Morgan Freeman,Ashley Judd,Nathan Gamble,Cozi Zuehlsdorff,Harry Connick Jr.,Kris Kristofferson",3.0,"Drama, Family",Rated PG,107 minutes
929,the disappearance of eleanor rigby: them,2014,Ned Benson,"James McAvoy,Jessica Chastain,Ciarán Hinds,Bill Hader,Viola Davis,Isabelle Huppert,Jess Weixler,William Hurt",3.0,Drama,Rated NR,122 minutes
930,the green prince,2014,Nadav Schirman,,3.0,"Documentary, Drama, Thriller",Rated PG-13,95 minutes
931,honeymoon,2014,Leigh Janiak,"Rose Leslie,Harry Treadaway,Ben Huber,Hanna Brown",3.0,"Horror, Thriller",Rated R,87 minutes
932,the skeleton twins,2014,Craig Johnson,"Kristen Wiig,Bill Hader,Luke Wilson,Ty Burrell",3.5,"Comedy, Drama",Rated R,93 minutes
933,the drop,2014,Michaël R. Roskam,"Tom Hardy,Noomi Rapace,James Gandolfini,John Ortiz,Ann Dowd",3.0,"Crime, Drama",Rated R,106 minutes
934,stray dogs,2014,Tsai Ming-liang,"Kang-sheng Lee,Lu Yi-Ching,Chen Shiang-Chyi,Chao-rong Chen,Yang Kuei-mei",3.5,Drama,Rated NR,138 minutes
935,annabelle,2014,John R. Leonetti,"Annabelle Wallis,Ward Horton,Tony Amendola,Alfre Woodard",1.0,Horror,Rated R,99 minutes
936,the guest,2014,Adam Wingard,"Dan Stevens,Maika Monroe,Sheila Kelley,Brendan Meyer,Leland Orser,Joel David Moore,Lance Reddick,AJ Bowen",3.0,"Horror, Thriller",Rated R,99 minutes
937,the good lie,2014,Philippe Falardeau,"Reese Witherspoon,Arnold Oceng,Ger Duany,Emmanuel Jal,Corey Stoll,Kuoth Wiel,Sarah Baker",3.0,Drama,Rated PG-13,110 minutes
938,the blue room,2014,Mathieu Amalric,"Mathieu Amalric,Léa Drucker",3.5,Thriller,,75 minutes
939,dead snow 2: red vs. dead,2014,Tommy Wirkola,"Vegar Hoel,Martin Starr,Jocelyn DeBoer,Ingrid Haas,Derek Mears",2.0,"Action, Comedy, Horror",Rated R,100 minutes
940,autómata,2014,Gabe Ibáñez,"Antonio Banderas,Birgitte Hjort Sørensen,Melanie Griffith,Dylan McDermott,Robert Forster,Tim McInnerny,Andy Nyman,David Ryall,Andrew Tiernan,Christa Campbell,Christina Tam,Danny Kirrane,Philip Rosch,Javier Bardem",1.5,"Science Fiction, Thriller",Rated R,110 minutes
941,one chance,2014,David Frankel,"James Corden,Alexandra Roach,Julie Walters,Colm Meaney",3.0,"Comedy, Drama, Music",Rated PG-13,103 minutes
942,evolution of a criminal,2014,Darius Clark Monroe,,2.5,Documentary,,81 minutes
943,the judge,2014,David Dobkin,"Robert Downey Jr.,Robert Duvall,Vera Farmiga,Vincent D'Onofrio,Jeremy Strong,Billy Bob Thornton,David Krumholtz,Emma Tremblay,Dax Shepard,Ken Howard,Leighton Meester,Balthazar Getty,Grace Zabriskie",2.5,Drama,Rated R,141 minutes
944,the overnighters,2014,Jesse Moss,,3.5,Documentary,Rated PG-13,90 minutes
945,"alexander and the terrible, horrible, no good, very bad day",2014,Miguel Arteta,"Steve Carell,Jennifer Garner,Ed Oxenbould,Dylan Minnette,Kerris Dorsey,Bella Thorne,Jennifer Coolidge,Megan Mullally",3.0,"Comedy, Family",Rated PG,81 minutes
946,whiplash,2014,Damien Chazelle,"Miles Teller,J.K. Simmons,Paul Reiser,Melissa Benoist,Austin Stowell",4.0,"Drama, Music",Rated R,106 minutes
947,dracula untold,2014,Gary Shore,"Luke Evans,Sarah Gadon,Dominic Cooper,Art Parkinson,Charles Dance,Diarmaid Murtagh,Paul Kaye,William Houston,Noah Huntley,Ronan Vibert",2.5,"Action, Drama, Fantasy, Horror, War",Rated PG-13,92 minutes
948,kill the messenger,2014,Michael Cuesta,"Jeremy Renner,Mary Elizabeth Winstead,Robert Patrick,Michael Sheen,Ray Liotta,Michael Kenneth Williams,Rosemarie DeWitt,Paz Vega,Andy Garcia,Barry Pepper,Gil Bellows,Oliver Platt,Richard Schiff,Tim Blake Nelson",3.0,"Crime, Drama, Mystery",Rated R,112 minutes
949,addicted,2014,Bille Woodruff,"Boris Kodjoe,Emayatzy Corinealdi,Katerina Graham,Maria Howell,Sharon Leal,Tasha Smith,Tyson Beckford",1.5,Drama,Rated R,105 minutes
950,st. vincent,2014,Theodore Melfi,"Bill Murray,Jaeden Lieberher,Melissa McCarthy,Naomi Watts,Chris O'Dowd,Terrence Howard",3.0,Comedy,Rated PG-13,103 minutes
951,i am ali,2014,Clare Lewins,,2.5,Documentary,Rated PG,111 minutes
952,diplomacy,2014,Volker Schlöndorff,"Niels Arestrup,André Dussollier,Robert Stadlober,Burghart Klaußner,Lucas Prisor",3.0,"Drama, History",Rated NR,88 minutes
953,camp x-ray,2014,Peter Sattler,"Kristen Stewart,Peyman Moaadi,Lane Garrison,Joseph Julian Soria,John Carroll Lynch",3.0,Drama,Rated R,117 minutes
954,watchers of the sky,2014,Edet Belzberg,,4.0,"Documentary, History",Rated NR,120 minutes
955,the best of me,2014,Michael Hoffman,"Michelle Monaghan,James Marsden,Liana Liberato,Luke Bracey",2.0,"Drama, Romance",Rated PG-13,117 minutes
956,housebound,2014,Gerard Johnstone,"Morgana O'Reilly,Rima Te Wiata,Glen-Paul Waru,Cameron Rhodes,Millen Baird",3.0,"Comedy, Horror, Thriller",Rated NR,109 minutes
957,young ones,2014,Jake Paltrow,"Nicholas Hoult,Elle Fanning,Michael Shannon,Kodi Smit-McPhee",1.5,"Action, Drama, Science Fiction",Rated R,100 minutes
958,the book of life,2014,Jorge R. Gutierrez,"Diego Luna,Channing Tatum,Zoe Saldana,Christina Applegate,Eugenio Derbez,Cheech Marin,Gabriel Iglesias,Ron Perlman",3.5,"Adventure, Animation, Comedy",Rated PG,95 minutes
959,the maze runner,2014,Wes Ball,"Will Poulter,Aml Ameen,Ki Hong Lee,Thomas Sangster,Will Poulter,Dexter Darden,Kaya Scodelario,Chris Sheffield,Joe Adler,Dylan O'Brien,Patricia Clarkson,Jacob Latimore",2.5,"Mystery, Science Fiction, Thriller",Rated PG-13,113 minutes
960,fury,2014,David Ayer,"Brad Pitt,Shia LaBeouf,Logan Lerman,Jon Bernthal,Scott Eastwood,Jason Isaacs,Xavier Samuel,Michael Peña",2.0,"Action, Drama, War",,134 minutes
961,a walk among the tombstones,2014,Scott Frank,"Liam Neeson,Maurice Compte,David Harbour,Marielle Heller,Annika Peterson,Adam David Thompson,Dan Stevens",3.5,"Action, Crime, Drama",Rated R,113 minutes
962,tusk,2014,Kevin Smith,"Michael Parks,Justin Long,Génesis Rodríguez,Haley Joel Osment,Johnny Depp",2.0,Horror,Rated R,102 minutes
963,this is where i leave you,2014,Shawn Levy,"Jason Bateman,Tina Fey,Jane Fonda,Adam Driver,Rose Byrne,Corey Stoll,Kathryn Hahn,Abigail Spencer,Connie Britton,Timothy Olyphant,Dax Shepard,Debra Monk,Abigail Spencer",2.0,Comedy,Rated R,103 minutes
964,two night stand,2014,Max Nichols,"Analeigh Tipton,Miles Teller,Jessica Szohr,Leven Rambin,Michael Showalter",2.5,"Comedy, Romance",Rated R,86 minutes
965,the song,2014,Richard Ramsey,"Alan Powell,Ali Faulkner,Caitlin Nicol-Thomas,Danny Vinson,Kenda Benward,Landon Marshall",2.0,"Drama, Music, Romance",Rated PG-13,116 minutes
966,the zero theorem,2014,Terry Gilliam,"Christoph Waltz,David Thewlis,Mélanie Thierry,Lucas Hedges,Matt Damon,Ben Whishaw,Tilda Swinton,Rupert Friend,Peter Stormare",2.5,"Drama, Fantasy, Science Fiction",Rated R,107 minutes
967,pride,2014,Matthew Warchus,"Bill Nighy,Dominic West,Andrew Scott,Paddy Considine,George MacKay,Imelda Staunton",3.5,Drama,Rated R,120 minutes
968,jimi: all is by my side,2014,John Ridley,"André Benjamin,Imogen Poots,Hayley Atwell,Burn Gorman,Ruth Negga,Ashley Charles",3.0,Drama,Rated R,118 minutes
969,lilting,2014,Hong Khaou,"Ben Whishaw,Pei-pei Cheng,Peter Bowles,Naomi Christie,Andrew Leung",2.5,Drama,,91 minutes
970,good people,2014,Henrik Ruben Genz,"James Franco,Kate Hudson,Anna Friel,Tom Wilkinson,Omar Sy,Sam Spruell,Michael Jibson",2.5,"Action, Crime, Thriller",Rated R,
971,the two faces of january,2014,Hossein Amini,"Viggo Mortensen,Kirsten Dunst,Oscar Isaac",3.0,Thriller,Rated PG-13,96 minutes
972,the boxtrolls,2014,"Graham Annable,Anthony Stacchi","Isaac Hempstead Wright,Elle Fanning,Ben Kingsley,Jared Harris,Toni Collette,Nick Frost,Tracy Morgan,Richard Ayoade",3.5,"Adventure, Animation, Family",Rated PG,97 minutes
973,the equalizer,2014,Antoine Fuqua,"Denzel Washington,Chloë Grace Moretz,Marton Csokas,David Harbour,Bill Pullman,Melissa Leo",3.0,"Action, Crime, Thriller",Rated R,131 minutes
974,"men, women & children",2014,Jason Reitman,"Ansel Elgort,Adam Sandler,Jennifer Garner,Rosemarie DeWitt,Judy Greer,Dean Norris,Emma Thompson,Olivia Crocicchia,Kaitlyn Dever,Elena Kampouris",1.0,"Comedy, Drama",Rated R,119 minutes
975,inner demons,2014,Seth Grossman,"Lara Vosburgh,Morgan McClellan,Colleen McGrann,Christopher Parker,Brian Flaherty",1.5,"Horror, Thriller",,85 minutes
976,time is illmatic,2014,One9,,3.5,Documentary,,
977,gone girl,2014,David Fincher,"Ben Affleck,Rosamund Pike,Carrie Coon,Kim Dickens,Patrick Fugit,Tyler Perry,Neil Patrick Harris,Missi Pyle,Casey Wilson",3.5,"Drama, Mystery, Thriller",Rated R,149 minutes
978,the hero of color city,2014,Frank Gladstone,"Christina Ricci,Rosie Perez,Wayne Brady,David Kaye",1.5,Animation,Rated G,77 minutes
979,harmontown,2014,Neil Berkeley,,2.5,Documentary,,101 minutes
980,copenhagen,2014,Mark Raso,"Gethin Anthony,Frederikke Dahl Hansen,Sebastian Armesto,Tamzin Merchant",3.0,Drama,,98 minutes
981,a good marriage,2014,Peter Askin,"Joan Allen,Anthony LaPaglia,Kristen Connolly,Stephen Lang",1.5,Thriller,Rated R,
